Time (s),Altitude (m),Velocity (m/s),Mass (kg),Fuel (%),Air Density (kg/m^3),Drag Force (N),Drag Accel (m/s^2),Heat Rate (W/m^2),Total Heat (J/m^2),Surface Temp (K)
233.70,523793.54,1644.95,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
233.80,523957.95,1644.11,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
233.90,524122.28,1643.28,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
234.00,524286.53,1642.44,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
234.10,524450.69,1641.60,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
234.20,524614.76,1640.76,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
234.30,524778.75,1639.92,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
234.40,524942.66,1639.08,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
234.50,525106.49,1638.25,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
234.60,525270.23,1637.41,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
234.70,525433.88,1636.57,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
234.80,525597.46,1635.73,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
234.90,525760.95,1634.89,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
235.00,525924.35,1634.06,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
235.10,526087.67,1633.22,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
235.20,526250.91,1632.38,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
235.30,526414.07,1631.54,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
235.40,526577.14,1630.70,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
235.50,526740.12,1629.87,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
235.60,526903.03,1629.03,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
235.70,527065.85,1628.19,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
235.80,527228.58,1627.35,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
235.90,527391.23,1626.52,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
236.00,527553.80,1625.68,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
236.10,527716.29,1624.84,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
236.20,527878.69,1624.00,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
236.30,528041.00,1623.17,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
236.40,528203.24,1622.33,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
236.50,528365.38,1621.49,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
236.60,528527.45,1620.65,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
236.70,528689.43,1619.82,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
236.80,528851.33,1618.98,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
236.90,529013.14,1618.14,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
237.00,529174.87,1617.31,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
237.10,529336.52,1616.47,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
237.20,529498.08,1615.63,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
237.30,529659.56,1614.79,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
237.40,529820.96,1613.96,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
237.50,529982.27,1613.12,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
237.60,530143.50,1612.28,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
237.70,530304.64,1611.45,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
237.80,530465.71,1610.61,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
237.90,530626.68,1609.77,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
238.00,530787.58,1608.94,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
238.10,530948.39,1608.10,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
238.20,531109.11,1607.26,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
238.30,531269.75,1606.43,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
238.40,531430.31,1605.59,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
238.50,531590.79,1604.75,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
238.60,531751.18,1603.92,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
238.70,531911.49,1603.08,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
238.80,532071.71,1602.24,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
238.90,532231.85,1601.41,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
239.00,532391.91,1600.57,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
239.10,532551.88,1599.73,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
239.20,532711.77,1598.90,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
239.30,532871.58,1598.06,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
239.40,533031.30,1597.22,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
239.50,533190.94,1596.39,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
239.60,533350.50,1595.55,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
239.70,533509.97,1594.72,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
239.80,533669.35,1593.88,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
239.90,533828.66,1593.04,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
240.00,533987.88,1592.21,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
240.10,534147.02,1591.37,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
240.20,534306.07,1590.54,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
240.30,534465.04,1589.70,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
240.40,534623.93,1588.86,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
240.50,534782.73,1588.03,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
240.60,534941.45,1587.19,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
240.70,535100.08,1586.36,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
240.80,535258.64,1585.52,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
240.90,535417.11,1584.69,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
241.00,535575.49,1583.85,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
241.10,535733.79,1583.01,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
241.20,535892.01,1582.18,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
241.30,536050.14,1581.34,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
241.40,536208.19,1580.51,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
241.50,536366.16,1579.67,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
241.60,536524.04,1578.84,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
241.70,536681.85,1578.00,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
241.80,536839.56,1577.17,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
241.90,536997.19,1576.33,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
242.00,537154.74,1575.50,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
242.10,537312.21,1574.66,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
242.20,537469.59,1573.82,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
242.30,537626.89,1572.99,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
242.40,537784.11,1572.15,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
242.50,537941.24,1571.32,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
242.60,538098.29,1570.48,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
242.70,538255.25,1569.65,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
242.80,538412.13,1568.81,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
242.90,538568.93,1567.98,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
243.00,538725.65,1567.14,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
243.10,538882.28,1566.31,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
243.20,539038.82,1565.47,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
243.30,539195.29,1564.64,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
243.40,539351.67,1563.81,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
243.50,539507.97,1562.97,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
243.60,539664.18,1562.14,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
243.70,539820.31,1561.30,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
243.80,539976.36,1560.47,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
243.90,540132.32,1559.63,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
244.00,540288.20,1558.80,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
244.10,540444.00,1557.96,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
244.20,540599.71,1557.13,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
244.30,540755.34,1556.29,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
244.40,540910.88,1555.46,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
244.50,541066.35,1554.63,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
244.60,541221.73,1553.79,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
244.70,541377.02,1552.96,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
244.80,541532.23,1552.12,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
244.90,541687.36,1551.29,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
245.00,541842.41,1550.45,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
245.10,541997.37,1549.62,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
245.20,542152.25,1548.79,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
245.30,542307.04,1547.95,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
245.40,542461.76,1547.12,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
245.50,542616.38,1546.28,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
245.60,542770.93,1545.45,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
245.70,542925.39,1544.62,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
245.80,543079.77,1543.78,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
245.90,543234.07,1542.95,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
246.00,543388.28,1542.12,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
246.10,543542.40,1541.28,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
246.20,543696.45,1540.45,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
246.30,543850.41,1539.61,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
246.40,544004.29,1538.78,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
246.50,544158.08,1537.95,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
246.60,544311.80,1537.11,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
246.70,544465.42,1536.28,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
246.80,544618.97,1535.45,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
246.90,544772.43,1534.61,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
247.00,544925.81,1533.78,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
247.10,545079.10,1532.95,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
247.20,545232.31,1532.11,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
247.30,545385.44,1531.28,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
247.40,545538.49,1530.45,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
247.50,545691.45,1529.61,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
247.60,545844.33,1528.78,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
247.70,545997.12,1527.95,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
247.80,546149.83,1527.11,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
247.90,546302.46,1526.28,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
248.00,546455.00,1525.45,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
248.10,546607.47,1524.62,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
248.20,546759.84,1523.78,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
248.30,546912.14,1522.95,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
248.40,547064.35,1522.12,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
248.50,547216.48,1521.28,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
248.60,547368.52,1520.45,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
248.70,547520.49,1519.62,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
248.80,547672.37,1518.79,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
248.90,547824.16,1517.95,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
249.00,547975.87,1517.12,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
249.10,548127.50,1516.29,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
249.20,548279.05,1515.46,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
249.30,548430.51,1514.62,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
249.40,548581.89,1513.79,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
249.50,548733.18,1512.96,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
249.60,548884.40,1512.13,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
249.70,549035.53,1511.29,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
249.80,549186.57,1510.46,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
249.90,549337.53,1509.63,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
250.00,549488.41,1508.80,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
250.10,549639.21,1507.96,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
250.20,549789.92,1507.13,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
250.30,549940.55,1506.30,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
250.40,550091.10,1505.47,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
250.50,550241.56,1504.63,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
250.60,550391.94,1503.80,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
250.70,550542.24,1502.97,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
250.80,550692.45,1502.14,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
250.90,550842.59,1501.31,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
251.00,550992.63,1500.47,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
251.10,551142.60,1499.64,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
251.20,551292.48,1498.81,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
251.30,551442.28,1497.98,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
251.40,551591.99,1497.15,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
251.50,551741.62,1496.32,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
251.60,551891.17,1495.48,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
251.70,552040.64,1494.65,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
251.80,552190.02,1493.82,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
251.90,552339.32,1492.99,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
252.00,552488.53,1492.16,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
252.10,552637.67,1491.33,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
252.20,552786.72,1490.49,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
252.30,552935.68,1489.66,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
252.40,553084.56,1488.83,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
252.50,553233.36,1488.00,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
252.60,553382.08,1487.17,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
252.70,553530.72,1486.34,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
252.80,553679.27,1485.51,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
252.90,553827.73,1484.68,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
253.00,553976.12,1483.84,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
253.10,554124.42,1483.01,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
253.20,554272.64,1482.18,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
253.30,554420.77,1481.35,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
253.40,554568.82,1480.52,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
253.50,554716.79,1479.69,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
253.60,554864.68,1478.86,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
253.70,555012.48,1478.03,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
253.80,555160.20,1477.20,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
253.90,555307.84,1476.36,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
254.00,555455.39,1475.53,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
254.10,555602.86,1474.70,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
254.20,555750.25,1473.87,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
254.30,555897.55,1473.04,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
254.40,556044.77,1472.21,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
254.50,556191.91,1471.38,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
254.60,556338.97,1470.55,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
254.70,556485.94,1469.72,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
254.80,556632.83,1468.89,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
254.90,556779.63,1468.06,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
255.00,556926.36,1467.23,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
255.10,557073.00,1466.40,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
255.20,557219.55,1465.57,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
255.30,557366.03,1464.74,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
255.40,557512.42,1463.91,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
255.50,557658.72,1463.08,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
255.60,557804.95,1462.25,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
255.70,557951.09,1461.41,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
255.80,558097.15,1460.58,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
255.90,558243.12,1459.75,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
256.00,558389.02,1458.92,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
256.10,558534.83,1458.09,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
256.20,558680.55,1457.26,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
256.30,558826.20,1456.43,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
256.40,558971.76,1455.60,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
256.50,559117.23,1454.77,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
256.60,559262.63,1453.94,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
256.70,559407.94,1453.11,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
256.80,559553.17,1452.28,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
256.90,559698.31,1451.45,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
257.00,559843.38,1450.62,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
257.10,559988.36,1449.80,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
257.20,560133.25,1448.97,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
257.30,560278.07,1448.14,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
257.40,560422.80,1447.31,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
257.50,560567.44,1446.48,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
257.60,560712.01,1445.65,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
257.70,560856.49,1444.82,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
257.80,561000.89,1443.99,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
257.90,561145.21,1443.16,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
258.00,561289.44,1442.33,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
258.10,561433.59,1441.50,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
258.20,561577.66,1440.67,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
258.30,561721.64,1439.84,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
258.40,561865.54,1439.01,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
258.50,562009.36,1438.18,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
258.60,562153.09,1437.35,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
258.70,562296.75,1436.52,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
258.80,562440.32,1435.69,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
258.90,562583.80,1434.87,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
259.00,562727.21,1434.04,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
259.10,562870.53,1433.21,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
259.20,563013.76,1432.38,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
259.30,563156.92,1431.55,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
259.40,563299.99,1430.72,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
259.50,563442.98,1429.89,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
259.60,563585.89,1429.06,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
259.70,563728.71,1428.23,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
259.80,563871.45,1427.40,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
259.90,564014.11,1426.58,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
260.00,564156.68,1425.75,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
260.10,564299.17,1424.92,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
260.20,564441.58,1424.09,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
260.30,564583.91,1423.26,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
260.40,564726.15,1422.43,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
260.50,564868.31,1421.60,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
260.60,565010.39,1420.78,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
260.70,565152.39,1419.95,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
260.80,565294.30,1419.12,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
260.90,565436.13,1418.29,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
261.00,565577.87,1417.46,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
261.10,565719.54,1416.63,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
261.20,565861.12,1415.80,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
261.30,566002.61,1414.98,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
261.40,566144.03,1414.15,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
261.50,566285.36,1413.32,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
261.60,566426.61,1412.49,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
261.70,566567.78,1411.66,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
261.80,566708.86,1410.84,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
261.90,566849.86,1410.01,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
262.00,566990.78,1409.18,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
262.10,567131.61,1408.35,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
262.20,567272.37,1407.52,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
262.30,567413.04,1406.69,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
262.40,567553.62,1405.87,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
262.50,567694.13,1405.04,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
